,L2SID,L2GENDER,L2Y1_SCHID,L2Y1_REG,L2Y1_SCHSIZE,L2Y1_SCHTYPE,L2Y1S,L2Y1S0101,L2Y1S0102,L2Y1S0103,L2Y1S0104,L2Y1S0105,L2Y1S0106,L2Y1S0107,L2Y1S0108,L2Y1S0109,L2Y1S0110,L2Y1S0111,L2Y1S0112,L2Y1S0113,L2Y1S0114,L2Y1S0115,L2Y1S0116,L2Y1S0117,L2Y1S0118,L2Y1S0119,L2Y1S0120,L2Y1S0201,L2Y1S0202,L2Y1S0203,L2Y1S0204,L2Y1S0205,L2Y1S0206,L2Y1S0301,L2Y1S0302,L2Y1S0303,L2Y1S0304,L2Y1S0305,L2Y1S0306,L2Y1S0401,L2Y1S0402,L2Y1S0403,L2Y1S0404,L2Y1S0405,L2Y1S0501,L2Y1S0502,L2Y1S0503,L2Y1S0504,L2Y1S0505,L2Y1S0506,L2Y1S0507,L2Y1S0601,L2Y1S0602,L2Y1S0603,L2Y1S0604,L2Y1S0605,L2Y1S0701,L2Y1S0702,L2Y1S0703,L2Y1S0704,L2Y1S0705,L2Y1S0801,L2Y1S0802,L2Y1S0803,L2Y1S0804,L2Y1S0805,L2Y1S0806,L2Y1S0901,L2Y1S0902,L2Y1S0903,L2Y1S1001,L2Y1S1002,L2Y1S1003,L2Y1S1101,L2Y1S1102,L2Y1S1103,L2Y1S1104,L2Y1S1105,L2Y1S1201,L2Y1S1202,L2Y1S1203,L2Y1S1204,L2Y1S1205,L2Y1S1206,L2Y1S1207,L2Y1S1208,L2Y1S1301,L2Y1S1302,L2Y1S1303,L2Y1S1304,L2Y1S1305,L2Y1S1306,L2Y1S1307,L2Y1S1308,L2Y1S1401,L2Y1S1402,L2Y1S1403,L2Y1S1404,L2Y1S1405,L2Y1S1406,L2Y1S1501,L2Y1S1502,L2Y1S1503,L2Y1S1504,L2Y1S1505,L2Y1S1601,L2Y1S1602,L2Y1S1603,L2Y1S1604,L2Y1S1701,L2Y1S1702,L2Y1S1703,L2Y1S1704,L2Y1S1705,L2Y1S1801,L2Y1S1802,L2Y1S1803,L2Y1S1804,L2Y1S1805,L2Y1S1806,L2Y1S1901,L2Y1S1902,L2Y1S1903,L2Y1S1904,L2Y1S2001,L2Y1S2002,L2Y1S2003,L2Y1S2004,L2Y1S2005,L2Y1S2101,L2Y1S2102,L2Y1S2103,L2Y1S2104,L2Y1S2105,L2Y1S2106,L2Y1S2107,L2Y1S2108,L2Y1S22,L2Y1S23,L2Y1S24,L2Y1S24_1_M1,L2Y1S24_1_M2,L2Y1S24_1_M3,L2Y1S24_1_M4,L2Y1S24_1_M5,L2Y1S24_1_M6,L2Y1S24_1_M7,L2Y1S24_1_M8,L2Y1S24_1_M9,L2Y1S24_1_M11,L2Y1S24_1_M10,L2Y1S24_1_M10_O,L2Y1S25,L2Y1S2601,L2Y1S2602,L2Y1S2603,L2Y1S2604,L2Y1S2701,L2Y1S2702,L2Y1S2703,L2Y1S2704,L2Y1S2705,L2Y1S28,L2Y1S2901,L2Y1S2902,L2Y1S3001,L2Y1S3002,L2Y1S3003,L2Y1S3004,L2Y1S3005,L2Y1S31,L2Y1S3201,L2Y1S3202,L2Y1S3203,L2Y1S3204,L2Y1S3205,L2Y1S3206,L2Y1S3207,L2Y1S3208,L2Y1S33,L2Y1S34,L2Y1S35,L2Y1S36_O,L2Y1S3701,L2Y1S3702,L2Y1S3703,L2Y1S3704,L2Y1S3705,L2Y1S3706,L2Y1S3707,L2Y1S3708,L2Y1S3709,L2Y1S3710,L2Y1S3801,L2Y1S3802,L2Y1S3803,L2Y1S3804,L2Y1S3805,L2Y1S3806,L2Y1S3807,L2Y1S3808,L2Y1S3901,L2Y1S3902,L2Y1S3903,L2Y1S3904,L2Y1S3905,L2Y1S3906,L2Y1S3907,L2Y1S3908,L2Y1_K_SCORE,L2Y1_E_SCORE,L2Y1_M_SCORE,L2Y1_K_THETA,L2Y1_E_THETA,L2Y1_M_THETA,L2Y1_K_CS,L2Y1_E_CS,L2Y1_M_CS
2585,2620.0,2,1074.0,2,1,1,1,5,4,3,5,4,5,5,5,5,5,3,3,3,3,3,3,3,1,3,4,3,4,3,2,2,3,2,2,2,2,2,2,3,2,4,3,3,4,3,3,4,3,4,3,3,4,4,4,3,3,5,2,1,3,5,5,5,5,5,5,4,5,5,2,4,4,3,4,1,4,1,4,2,2,2,3,3,4,4,3,2,4,4,3,2,3,3,5,4,4,3,4,4,4,2,1,1,3,5,4,4,4,4,4,5,3,4,4,4,4,4,4,4,2,2,3,4,1,1,1,1,1,4,3,4,4,3,4,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,,2,4,2,3,3,1,1,2,1,2,1,2,4,3,1,2,2,2,0,1,2,5,1,3,4,5,2,잘 모르겠다,일반계(인문계)고,서울 소재 4년제 대학,모름,4,4,4,4,3,2,2,2,3,3,3,4,2,3,3,3,2,2,2,2,2,2,3,3,4,4,16.0,25.0,21.0,179.0,253.0,215.0,2,4,3
2586,2621.0,2,1074.0,2,1,1,1,5,4,4,5,4,5,4,5,5,5,5,4,4,5,4,5,5,5,5,5,4,5,3,5,4,4,1,1,1,1,1,1,3,3,4,3,3,4,3,5,5,5,1,1,4,4,4,4,4,5,5,1,1,5,4,4,3,4,4,4,5,5,5,4,4,4,1,1,1,1,1,4,4,5,5,5,4,5,5,2,2,2,2,4,4,4,3,4,4,4,5,5,5,5,4,2,4,3,4,4,5,4,4,3,4,3,3,5,5,5,5,5,4,1,1,1,2,1,1,1,1,1,4,4,5,5,1,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,세계경제탐구,2,4,5,4,4,4,4,5,5,5,4,1,0,,,,,,1,2,2,3,2,1,1,1,2,대학교,일반계(인문계)고,서울 소재 4년제 대학,아나운서,4,4,4,4,4,4,5,4,4,4,2,3,4,4,4,3,3,3,4,4,3,4,4,5,5,4,21.0,25.0,23.0,226.0,253.0,236.0,3,4,4
2587,2622.0,2,1074.0,2,1,1,1,4,4,3,4,3,5,5,5,4,5,3,1,3,2,2,3,3,4,3,4,3,3,3,4,4,4,1,4,4,1,1,1,3,3,3,3,3,3,3,4,4,4,1,3,3,3,3,4,3,4,4,1,1,4,4,4,4,4,4,4,3,4,3,3,3,2,2,3,2,3,1,3,3,3,4,3,3,4,4,3,3,2,3,3,3,3,4,4,4,4,3,3,3,4,2,2,3,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,1,2,2,3,2,2,1,2,1,4,4,4,4,2,3,3,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,,2,3,3,3,3,3,3,3,3,3,2,0,1,2,2,2,2,2,3,3,3,3,2,2,1,3,2,잘 모르겠다,일반계(인문계)고,지방 소재 4년제 국립대학,간호사,3,3,3,3,3,3,3,3,3,3,1,1,4,4,3,4,3,3,3,2,2,2,2,3,4,3,21.0,24.0,14.0,226.0,235.0,165.0,3,4,2
2588,2623.0,1,1074.0,2,1,1,1,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4,4,4,5,4,5,5,4,5,4,5,2,5,4,2,1,2,3,4,3,3,4,4,5,3,5,5,1,1,4,4,5,5,5,5,5,2,1,5,5,5,3,5,5,5,5,5,5,3,4,4,2,2,1,1,1,5,4,5,3,5,4,5,5,2,2,1,2,4,4,5,4,5,4,5,3,5,5,4,2,1,3,5,5,4,5,4,5,5,5,4,5,5,5,4,5,5,5,1,4,2,4,1,1,1,1,1,3,3,2,3,3,3,3,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,,2,3,3,4,4,3,4,4,3,3,2,0,1,1,1,1,1,1,2,2,4,4,3,1,1,2,,대학원 석사과정,"예체능고(예고,체육고,미술고 등)",해외 유학,영화배우,5,5,5,5,5,5,5,5,5,5,5,2,4,,5,5,2,3,4,5,3,4,4,5,5,5,16.0,23.0,22.0,179.0,221.0,225.0,2,4,4
2589,2624.0,1,1074.0,2,1,1,1,5,5,4,5,5,5,5,5,5,5,4,4,4,3,2,5,5,3,5,5,5,5,4,5,4,4,1,2,4,1,2,2,4,5,5,5,4,5,4,4,4,4,1,2,4,4,5,4,5,5,5,1,1,5,5,5,4,5,5,5,5,5,5,4,3,4,2,2,1,2,1,5,5,5,5,5,5,5,5,2,1,3,2,3,4,4,4,5,5,5,5,5,5,5,3,1,2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,2,3,2,3,2,1,1,1,1,2,4,2,2,2,4,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,,2,3,3,3,3,4,4,5,4,5,2,1,1,2,1,1,1,1,0,1,2,5,3,2,2,3,1,대학원 박사과정,과학고,서울 소재 4년제 대학,의사,4,4,4,4,4,3,4,4,4,4,2,2,4,4,4,4,4,3,4,4,3,4,4,4,4,3,25.0,25.0,25.0,273.0,253.0,264.0,4,4,4
2590,2625.0,1,1074.0,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,4,4,5,5,5,5,5,5,5,4,1,1,4,1,2,1,4,5,3,4,5,5,4,4,4,5,1,3,4,5,5,5,5,5,5,1,,5,5,5,3,3,3,3,5,5,5,4,4,4,2,2,1,2,1,5,5,5,5,5,5,5,5,1,1,2,2,4,4,4,4,5,5,5,5,5,5,5,1,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,,2,2,3,3,3,2,3,4,3,3,2,1,0,,,,,,6,1,2,2,2,1,1,2,1,대학원 박사과정,전문계(구 실업계)고 또는 전문계 특성화고,해외 유학,판사,5,5,5,5,5,5,5,5,5,5,3,2,4,4,4,4,4,4,5,4,5,5,4,5,5,5,23.0,25.0,24.0,249.0,253.0,249.0,4,4,4
2591,2626.0,1,1074.0,2,1,1,1,4,3,4,4,4,5,4,5,5,5,4,4,5,4,4,4,3,3,3,3,4,5,5,4,4,5,1,1,1,1,1,1,5,4,4,4,5,3,2,2,3,3,1,4,4,4,4,4,3,5,5,1,1,3,5,5,4,5,5,4,5,5,5,4,4,4,3,3,1,2,1,5,4,4,4,4,4,3,5,4,3,3,4,3,2,3,2,4,3,4,3,4,4,4,5,3,4,5,4,4,4,5,4,4,5,4,4,4,3,3,4,3,3,1,1,1,3,1,1,1,1,1,3,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,,2,2,2,2,3,2,1,2,1,1,0,1,1,1,1,3,1,1,1,1,2,1,1,1,3,2,1,잘 모르겠다,과학고,서울 소재2/3년제 대학,"음악적,컴퓨터를 이용한 작곡가",4,4,5,4,4,3,4,4,4,4,3,2,4,5,4,4,2,2,3,3,2,3,3,1,1,2,21.0,24.0,22.0,226.0,235.0,225.0,3,4,4
2592,2627.0,2,1074.0,2,1,1,1,4,3,3,4,3,3,3,4,2,3,3,3,4,3,3,2,2,1,3,3,3,4,3,3,3,3,4,2,2,2,4,2,4,2,3,4,3,3,2,2,2,4,4,5,2,3,3,3,3,5,5,2,3,1,4,4,3,3,4,2,4,5,4,3,3,2,4,4,1,4,1,2,2,2,2,1,1,1,3,3,2,3,3,3,2,2,2,2,3,2,2,2,1,4,3,2,2,3,3,3,3,3,3,1,3,1,2,3,3,4,3,4,4,2,3,3,5,2,2,2,4,2,4,2,5,3,5,4,2,3,2,2,1,2,2,1,2,2,2,2,1,2,2,2,,2,4,4,4,3,2,2,4,1,3,1,1,3,2,3,3,2,2,2,1,2,3,2,4,3,3,2,대학교,일반계(인문계)고,서울 소재 4년제 대학,아이돌가수,4,4,4,4,3,3,3,3,4,3,2,2,4,3,4,3,4,3,2,2,2,3,4,4,4,3,18.0,22.0,19.0,197.0,209.0,198.0,3,4,3
2593,2628.0,2,1074.0,2,1,1,1,5,5,5,5,4,5,5,5,4,4,3,3,3,3,3,4,3,4,5,4,4,4,3,4,4,3,2,2,4,1,4,1,2,2,3,3,2,4,3,5,5,5,4,2,4,4,4,4,5,4,5,2,2,2,3,3,3,4,3,3,5,5,5,4,4,4,1,2,1,3,1,4,4,3,4,4,4,3,5,3,2,2,2,3,4,3,3,5,5,4,4,5,5,4,2,1,4,4,4,4,4,4,4,4,5,4,4,3,3,4,3,4,4,1,1,2,3,1,1,1,1,1,4,3,4,5,3,4,3,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,,2,3,4,3,3,5,3,4,3,5,5,0,2,2,2,2,2,2,1,1,2,4,3,1,1,2,2,대학원 석사과정,일반계(인문계)고,서울 소재 4년제 대학,초등학교 선생님,4,4,4,4,4,4,4,4,4,4,3,2,3,5,4,3,3,2,3,2,3,4,4,3,4,3,18.0,23.0,25.0,197.0,221.0,264.0,3,4,4
2594,2629.0,2,1075.0,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,1,4,1,1,4,1,2,3,2,3,3,3,3,3,3,5,1,3,3,4,3,2,3,4,4,3,2,3,3,3,3,3,3,3,5,4,4,3,3,3,1,2,2,3,1,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,2,2,3,4,1,1,1,1,1,3,3,3,2,3,3,2,3,2,2,2,,,,,,,,,,,,,1,3,3,3,2,3,3,3,3,2,2,1,3,3,2,3,2,3,1,3,2,2,2,3,2,3,2,대학교,일반계(인문계)고,서울 소재2/3년제 대학,요리사,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19.0,13.0,16.0,206.0,154.0,177.0,3,2,3
2595,2630.0,2,1075.0,2,1,1,1,5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,5,5,5,5,5,5,5,5,3,5,5,1,4,4,1,1,1,5,5,4,5,5,5,4,5,5,5,1,1,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5,5,4,4,4,1,2,1,2,1,3,5,5,5,5,5,5,5,3,1,3,3,4,4,4,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,4,4,5,1,1,1,1,1,4,3,5,5,4,5,1,1,1,2,2,,,,,,,,,,,,,2,5,5,5,5,5,5,5,5,5,4,0,1,1,1,1,1,2,0,1,2,5,2,2,2,1,2,대학원 석사과정,외국어고/국제고,서울 소재 4년제 대학,재활의학과의사,5,5,5,5,5,5,5,5,5,5,3,2,4,5,5,4,5,5,5,4,5,5,5,5,5,5,21.0,24.0,22.0,226.0,235.0,225.0,3,4,4
2596,2631.0,1,1075.0,2,1,1,1,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,3,1,1,1,1,1,1,4,4,4,3,4,4,3,4,3,4,1,2,5,5,4,4,3,5,5,1,1,5,4,4,4,3,4,4,5,5,5,4,4,4,1,1,1,1,1,5,5,5,5,5,5,5,5,2,2,2,2,5,5,5,3,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,4,5,4,4,4,4,3,5,1,3,2,3,2,1,1,1,1,1,1,1,4,1,1,1,1,1,2,2,,,,,,,,,,,,,2,4,4,3,4,3,3,3,3,3,1,1,1,1,1,1,1,1,9,1,2,4,3,2,2,2,2,대학교,일반계(인문계)고,해외 유학,초등학교 선생님,4,4,4,4,4,4,4,5,4,4,1,1,5,5,5,4,3,2,4,3,1,4,1,1,3,3,18.0,25.0,24.0,197.0,253.0,249.0,3,4,4
